CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97588,168,0.008,0.084,4.48,0.519,0.042,0.036,505,71,1353,12,6,0.02
V97587,163,0.008,0.04,4.59,0.495,0.061,0.042,342,48,1343,10,5,0.006
V97586,170,0.008,0.087,4.45,0.45,0.045,0.035,527,79,1354,15,7,0.012
V97585,162,0.008,0.086,4.53,0.44,0.038,0.035,512,72,1368,11,6,0.024
V97582,176,0.008,0.06,4.53,0.535,0.051,0.038,422,60,1348,12,5,0.013
V97584,176,0.008,0.071,4.5,0.44,0.039,0.036,470,64,1341,12,6,0.01
V97583,160,0.008,0.07,4.5,0.432,0.04,0.037,446,64,1401,13,6,0.016
V97581,158,0.008,0.052,4.57,0.666,0.061,0.039,389,57,1344,9,5,0.007
V97580,160,0.008,0.055,4.56,0.691,0.062,0.038,398,58,1323,12,5,0.007
V97579,160,0.008,0.061,4.56,0.674,0.051,0.038,425,61,1327,12,5,0.01
V97578,163,0.008,0.071,4.41,0.524,0.049,0.038,455,72,1331,11,6,0.01
V97577,160,0.005,0.075,4.52,0.52,0.051,0.038,513,92,1336,15,9,0.007
V97576,163,0.005,0.032,4.6,0.9,0.089,0.048,305,44,1394,9,4,0.007
V97575,177,0.005,0.035,4.552,0.864,0.083,0.047,461,37,1364,11,3,0.004
V97574,163,0.005,0.052,4.54,0.7,0.061,0.039,380,67,1319,11,6,0.005
V97573,170,0.005,0.061,4.37,0.726,0.056,0.036,421,87,1277,11,7,0.004
V97571,165,0.005,0.053,4.5,0.642,0.067,0.043,402,60,1332,10,5,0.005
V97570,164,0.005,0.045,4.56,0.694,0.076,0.043,350,58,1344,10,5,0.004
V97569,163,0.005,0.035,4.63,0.694,0.081,0.049,320,45,1375,9,4,0.004
V97568,169,0.005,0.036,4.61,0.782,0.083,0.046,323,46,1401,8,4,0.006
V97567,163,0.005,0.041,4.58,0.944,0.092,0.045,328,54,1416,9,5,0.004
V97566,168,0.005,0.04,4.59,0.94,0.089,0.047,344,49,1405,10,5,0.006
V97565,165,0.005,0.039,4.64,0.917,0.085,0.048,335,47,1383,8,4,0.006
V97564,172,0.005,0.055,4.55,0.595,0.064,0.042,410,59,1376,11,6,0.009
V97563,163,0.005,0.065,4.39,0.388,0.042,0.039,445,87,1374,12,8,0.009
V97562,166,0.005,0.065,4.62,0.448,0.046,0.039,466,71,1560,11,6,0.007
V97561,170,0.005,0.072,4.32,0.482,0.049,0.041,514,74,1387,15,7,0.006
V97558,162,0.005,0.038,4.54,0.803,0.087,0.046,334,47,1366,9,4,0.004
V97556,164,0.005,0.055,4.54,0.52,0.062,0.043,422,61,1423,10,5,0.011
V97555,169,0.005,0.053,4.52,0.66,0.072,0.043,395,57,1417,11,5,0.008
V97554,178,0.005,0.055,4.45,0.72,0.07,0.043,415,60,1397,12,5,0.007
V97553,169,0.005,0.044,4.58,0.698,0.076,0.042,378,52,1343,9,5,0.007
V97552,160,0.005,0.046,4.55,0.635,0.073,0.041,360,52,1350,10,5,0.005
V97551,168,0.005,0.05,4.46,0.401,0.048,0.04,391,60,1342,11,5,0.005
V97549,163,0.005,0.04,4.6,0.54,0.065,0.043,378,48,1358,10,5,0.004
V97550,160,0.005,0.052,4.53,0.49,0.046,0.041,392,56,1290,11,5,0.005
V97548,164,0.005,0.038,4.54,0.595,0.072,0.044,339,48,1409,9,4,0.005
V97546,165,0.005,0.065,4.46,0.63,0.058,0.04,457,68,1361,13,6,0.006
V97544,169,0.005,0.046,4.57,0.549,0.066,0.044,396,53,,10,4,0.006
V97543,171,0.005,0.045,4.55,0.611,0.065,0.043,352,51,,10,5,0.007
V97542,165,0.005,0.037,4.67,0.71,0.08,0.046,334,46,,9,4,0.003
V97539,172,0.005,0.038,4.65,0.6,0.07,0.044,339,62,1368,9,4,0.006
V97537,165,0.005,0.046,4.6,0.42,0.054,0.041,366,53,1348,10,5,0.006
V97534,165,0.005,0.037,4.55,0.619,0.075,0.045,334,49,1363,10,4,0.004
V97533,164,0.005,0.038,4.55,0.516,0.069,0.045,331,46,1353,8,4,0.007
V97532,166,0.005,0.039,4.55,0.706,0.071,0.042,325,46,1392,9,4,0.003
V97531,163,0.005,0.036,4.56,0.544,0.069,0.043,357,52,1364,9,4,0.004
V97530,163,0.005,0.04,4.55,0.633,0.071,0.044,333,47,1438,9,4,0.009
V97528,165,0.005,0.048,4.56,0.502,0.062,0.043,369,52,1333,9,4,0.006
V97526,158,0.005,0.037,4.55,0.553,0.068,0.045,333,47,1408,9,4,0.01
V97524,161,0.005,0.048,4.55,0.603,0.049,0.041,715,0,1245,18,4,0.014
V97523,160,0.005,0.049,4.54,0.554,0.054,0.043,409,51,1293,12,4,0.006
V97521,162,0.005,0.042,4.53,0.585,0.065,0.044,359,51,1384,9,4,0.005
V97518,166,0.005,0.051,4.58,0.55,0.058,0.043,381,55,1410,11,5,0.007
V97520,166,0.005,0.033,4.56,0.812,0.079,0.046,313,44,1400,8,4,0.005
V97519,171,0.005,0.042,4.57,0.623,0.067,0.044,406,63,1400,11,5,0.005
V97517,160,0.005,0.039,4.64,0.632,0.068,0.042,370,48,1351,8,4,0.011
V97515,162,0.005,0.049,4.56,0.494,0.063,0.041,389,56,1396,10,5,0.007
V97516,163,0.005,0.04,4.64,0.608,0.074,0.044,341,48,1326,10,4,0.004
V97514,163,0.005,0.05,4.51,0.473,0.058,0.042,402,52,1399,10,4,0.01
V97512,172,0.005,0.03,4.58,0.79,0.086,0.048,289,42,1396,8,4,0.003
V97511,162,0.005,0.03,4.54,0.72,0.078,0.047,276,41,1387,7,3,0.005
V97510,176,0.005,0.035,4.6,0.65,0.072,0.046,317,46,1380,9,4,0.006
V97509,168,0.005,0.043,4.53,0.47,0.06,0.043,304,57,1386,8,5,0.007
V97508,164,0.005,0.038,4.57,0.53,0.067,0.044,312,50,1322,8,4,0.006
V97507,169,0.005,0.03,4.62,0.57,0.074,0.045,295,42,1342,8,4,0.006
V97506,167,0.005,0.033,4.58,0.59,0.076,0.047,372,41,1373,7,3,0.006
V97504,176,0.005,0.038,4.61,0.543,0.063,0.043,336,48,1343,9,5,0.004
V97503,162,0.005,0.037,4.57,0.614,0.068,0.046,332,49,1342,10,5,0.004
V97502,165,0.005,0.045,4.54,0.608,0.069,0.045,359,56,1383,9,5,0.005
V97501,167,0.005,0.046,4.51,0.573,0.071,0.044,350,53,,9,4,0.006
V97500,171,0.005,0.03,4.6,0.86,0.086,0.046,297,42,,9,4,0.006
V97499,165,0.005,0.035,4.58,0.745,0.079,0.046,316,47,1340,8,4,0.004
V97497,166,0.005,0.037,4.6,0.681,0.079,0.046,336,47,1378,9,4,0.004
